YEAR,WEEK,PROVINCE,DOSE,VACCINATIONS
2021,15,Antwerpen,C,144.0
2021,15,Brabant Wallon,A,32332.0
2021,15,Brabant Wallon,B,8365.0
2021,15,Brussels,A,52812.0
2021,15,Brussels,B,10671.0
2021,15,Hainaut,A,58134.0
2021,15,Hainaut,B,14691.0
2021,15,Limburg,A,51538.0
2021,15,Limburg,B,10550.0
2021,15,Limburg,C,69.0
2021,15,Liège,A,73496.0
2021,15,Liège,B,15175.0
2021,15,Luxembourg,A,19473.0
2021,15,Luxembourg,B,4973.0
2021,15,Namur,A,36462.0
2021,15,Namur,B,7870.0
2021,15,Namur,C,12.0
2021,15,Oost-Vlaanderen,A,84659.0
2021,15,Oost-Vlaanderen,B,19861.0
2021,15,Oost-Vlaanderen,C,25.0
2021,15,Vlaams-Brabant,A,68322.0
2021,15,Vlaams-Brabant,B,17532.0
2021,15,Vlaams-Brabant,C,26.0
2021,15,West-Vlaanderen,A,89720.0
2021,15,West-Vlaanderen,B,21703.0
2021,16,Antwerpen,A,126398.0
2021,16,Antwerpen,B,23864.0
2021,16,Antwerpen,C,144.0
2021,16,Brabant Wallon,A,35338.0
2021,16,Brabant Wallon,B,9135.0
2021,16,Brussels,A,56631.0
2021,16,Brussels,B,12386.0
2021,16,Hainaut,A,69020.0
2021,16,Hainaut,B,15583.0
2021,16,Limburg,A,61529.0
2021,16,Limburg,B,10599.0
2021,16,Limburg,C,69.0
2021,16,Liège,A,84258.0
2021,16,Liège,B,15673.0
2021,16,Luxembourg,A,21744.0
2021,16,Luxembourg,B,5202.0
2021,16,Namur,A,41133.0
2021,16,Namur,B,8253.0
2021,16,Namur,C,12.0
2021,16,Oost-Vlaanderen,A,99596.0
2021,16,Oost-Vlaanderen,B,19987.0
2021,16,Oost-Vlaanderen,C,25.0
2021,16,Vlaams-Brabant,A,79639.0
2021,16,Vlaams-Brabant,B,17758.0
2021,16,Vlaams-Brabant,C,26.0
2021,16,West-Vlaanderen,A,102355.0
2021,16,West-Vlaanderen,B,21863.0
2021,17,Antwerpen,A,155558.0
2021,17,Antwerpen,B,24168.0
2021,17,Antwerpen,C,226.0
2021,17,Brabant Wallon,A,36556.0
2021,17,Brabant Wallon,B,10879.0
2021,17,Brussels,A,66213.0
2021,17,Brussels,B,17582.0
2021,17,Brussels,C,27.0
2021,17,Hainaut,A,78797.0
2021,17,Hainaut,B,18926.0
2021,17,Hainaut,C,300.0
2021,17,Limburg,A,77877.0
2021,17,Limburg,B,10723.0
2021,17,Limburg,C,102.0
2021,17,Liège,A,89306.0
2021,17,Liège,B,21764.0
2021,17,Luxembourg,A,25776.0
2021,17,Luxembourg,B,7021.0
2021,17,Namur,A,43818.0
2021,17,Namur,B,10324.0
2021,17,Namur,C,17.0
2021,17,Oost-Vlaanderen,A,125572.0
2021,17,Oost-Vlaanderen,B,20262.0
2021,17,Oost-Vlaanderen,C,62.0
2021,17,Vlaams-Brabant,A,101525.0
2021,17,Vlaams-Brabant,B,18011.0
2021,17,Vlaams-Brabant,C,73.0
2021,17,West-Vlaanderen,A,128696.0
2021,17,West-Vlaanderen,B,21985.0
2021,17,West-Vlaanderen,C,88.0
2021,18,Antwerpen,A,173719.0
2021,18,Antwerpen,B,43484.0
2021,18,Antwerpen,C,978.0
2021,18,Brabant Wallon,A,40032.0
2021,18,Brabant Wallon,B,13573.0
2021,18,Brabant Wallon,C,568.0
2021,18,Brussels,A,75062.0
2021,18,Brussels,B,28698.0
2021,18,Brussels,C,268.0
2021,18,Hainaut,A,88025.0
2021,18,Hainaut,B,22860.0
2021,18,Hainaut,C,1313.0
2021,18,Limburg,A,88276.0
2021,18,Limburg,B,19672.0
2021,18,Limburg,C,299.0
2021,18,Liège,A,96501.0
2021,18,Liège,B,26737.0
2021,18,Liège,C,2017.0
2021,18,Luxembourg,A,28947.0
2021,18,Luxembourg,B,8569.0
2021,18,Namur,A,46763.0
2021,18,Namur,B,14070.0
2021,18,Namur,C,2085.0
2021,18,Oost-Vlaanderen,A,135983.0
2021,18,Oost-Vlaanderen,B,35763.0
2021,18,Oost-Vlaanderen,C,515.0
2021,18,Vlaams-Brabant,A,109735.0
2021,18,Vlaams-Brabant,B,27504.0
2021,18,Vlaams-Brabant,C,304.0
2021,18,West-Vlaanderen,A,135818.0
2021,18,West-Vlaanderen,B,35917.0
2021,18,West-Vlaanderen,C,353.0
2021,19,Antwerpen,A,176063.0
2021,19,Antwerpen,B,83405.0
2021,19,Antwerpen,C,1336.0
2021,19,Brabant Wallon,A,42911.0
2021,19,Brabant Wallon,B,15322.0
2021,19,Brabant Wallon,C,663.0
2021,19,Brussels,A,85664.0
2021,19,Brussels,B,35253.0
2021,19,Brussels,C,441.0
2021,19,Hainaut,A,94490.0
2021,19,Hainaut,B,27114.0
2021,19,Hainaut,C,1437.0
2021,19,Limburg,A,89260.0
2021,19,Limburg,B,38718.0
2021,19,Limburg,C,381.0
2021,19,Liège,A,102558.0
2021,19,Liège,B,33140.0
2021,19,Liège,C,2094.0
2021,19,Luxembourg,A,30923.0
2021,19,Luxembourg,B,9478.0
2021,19,Namur,A,50022.0
2021,19,Namur,B,16589.0
2021,19,Namur,C,2541.0
2021,19,Oost-Vlaanderen,A,137141.0
2021,19,Oost-Vlaanderen,B,70173.0
2021,19,Oost-Vlaanderen,C,601.0
2021,19,Vlaams-Brabant,A,110243.0
2021,19,Vlaams-Brabant,B,54078.0
2021,19,Vlaams-Brabant,C,451.0
2021,19,West-Vlaanderen,A,136263.0
2021,19,West-Vlaanderen,B,73621.0
2021,19,West-Vlaanderen,C,479.0
2021,20,Antwerpen,A,177522.0
2021,20,Antwerpen,B,92152.0
2021,20,Antwerpen,C,2201.0
2021,20,Brabant Wallon,A,44260.0
2021,20,Brabant Wallon,B,20219.0
2021,20,Brabant Wallon,C,687.0
2021,20,Brussels,A,93193.0
2021,20,Brussels,B,38813.0
2021,20,Brussels,C,623.0
2021,20,Hainaut,A,97649.0
2021,20,Hainaut,B,36191.0
2021,20,Hainaut,C,2364.0
2021,20,Limburg,A,89758.0
2021,20,Limburg,B,40931.0
2021,20,Limburg,C,599.0
2021,20,Liège,A,106182.0
2021,20,Liège,B,45253.0
2021,20,Liège,C,2514.0
2021,20,Luxembourg,A,31418.0
2021,20,Luxembourg,B,12704.0
2021,20,Luxembourg,C,408.0
2021,20,Namur,A,51516.0
2021,20,Namur,B,21750.0
2021,20,Namur,C,3563.0
2021,20,Oost-Vlaanderen,A,137995.0
2021,20,Oost-Vlaanderen,B,73236.0
2021,20,Oost-Vlaanderen,C,1907.0
2021,20,Vlaams-Brabant,A,112526.0
2021,20,Vlaams-Brabant,B,58606.0
2021,20,Vlaams-Brabant,C,1124.0
2021,20,West-Vlaanderen,A,136958.0
2021,20,West-Vlaanderen,B,80437.0
2021,20,West-Vlaanderen,C,2455.0
2021,21,Antwerpen,A,178222.0
2021,21,Antwerpen,B,96264.0
2021,21,Antwerpen,C,4627.0
2021,21,Brabant Wallon,A,45119.0
2021,21,Brabant Wallon,B,23401.0
2021,21,Brabant Wallon,C,721.0
2021,21,Brussels,A,95337.0
2021,21,Brussels,B,50871.0
2021,21,Brussels,C,778.0
2021,21,Hainaut,A,100793.0
2021,21,Hainaut,B,45092.0
2021,21,Hainaut,C,2987.0
2021,21,Limburg,A,90432.0
2021,21,Limburg,B,42453.0
2021,21,Limburg,C,2223.0
2021,21,Liège,A,109454.0
2021,21,Liège,B,55300.0
2021,21,Liège,C,2650.0
2021,21,Luxembourg,A,31870.0
2021,21,Luxembourg,B,15211.0
2021,21,Luxembourg,C,432.0
2021,21,Namur,A,52423.0
2021,21,Namur,B,25728.0
2021,21,Namur,C,4471.0
2021,21,Oost-Vlaanderen,A,141690.0
2021,21,Oost-Vlaanderen,B,76754.0
2021,21,Oost-Vlaanderen,C,3417.0
2021,21,Vlaams-Brabant,A,115298.0
2021,21,Vlaams-Brabant,B,63904.0
2021,21,Vlaams-Brabant,C,2536.0
2021,21,West-Vlaanderen,A,138367.0
2021,21,West-Vlaanderen,B,81926.0
2021,21,West-Vlaanderen,C,3861.0
2021,22,Antwerpen,A,211144.0
2021,22,Antwerpen,B,108877.0
2021,22,Antwerpen,C,6540.0
2021,22,Brabant Wallon,A,46180.0
2021,22,Brabant Wallon,B,28320.0
2021,22,Brabant Wallon,C,769.0
2021,22,Brussels,A,100281.0
2021,22,Brussels,B,58110.0
2021,22,Brussels,C,905.0
2021,22,Hainaut,A,105673.0
2021,22,Hainaut,B,56827.0
2021,22,Hainaut,C,3786.0
2021,22,Limburg,A,103182.0
2021,22,Limburg,B,51801.0
2021,22,Limburg,C,3620.0
2021,22,Liège,A,113785.0
2021,22,Liège,B,61895.0
2021,22,Liège,C,2855.0
2021,22,Luxembourg,A,32376.0
2021,22,Luxembourg,B,19793.0
2021,22,Luxembourg,C,472.0
2021,22,Namur,A,53497.0
2021,22,Namur,B,29281.0
2021,22,Namur,C,4632.0
2021,22,Oost-Vlaanderen,A,162743.0
2021,22,Oost-Vlaanderen,B,88755.0
2021,22,Oost-Vlaanderen,C,4462.0
2021,22,Vlaams-Brabant,A,133890.0
2021,22,Vlaams-Brabant,B,78197.0
2021,22,Vlaams-Brabant,C,4970.0
2021,22,West-Vlaanderen,A,154058.0
2021,22,West-Vlaanderen,B,89057.0
2021,22,West-Vlaanderen,C,6034.0
2021,23,Antwerpen,A,224245.0
2021,23,Antwerpen,B,117246.0
2021,23,Antwerpen,C,14377.0
2021,23,Brabant Wallon,A,46912.0
2021,23,Brabant Wallon,B,32946.0
2021,23,Brabant Wallon,C,817.0
2021,23,Brussels,A,102948.0
2021,23,Brussels,B,67030.0
2021,23,Brussels,C,1006.0
2021,23,Hainaut,A,109405.0
2021,23,Hainaut,B,68893.0
2021,23,Hainaut,C,4459.0
2021,23,Limburg,A,112299.0
2021,23,Limburg,B,59320.0
2021,23,Limburg,C,6808.0
2021,23,Liège,A,115921.0
2021,23,Liège,B,73993.0
2021,23,Liège,C,3190.0
2021,23,Luxembourg,A,32699.0
2021,23,Luxembourg,B,25424.0
2021,23,Luxembourg,C,474.0
2021,23,Namur,A,54303.0
2021,23,Namur,B,33732.0
2021,23,Namur,C,4777.0
2021,23,Oost-Vlaanderen,A,175415.0
